text_string,sentiment,score
utek mung kedonyan pdhl siap megathrust sing digowo mung klambi jokowi bien tukang kayu saiki dadi presiden poin nyapo blas raenek insecure2 mergo sesimple ndilat dewe lakon kelas,negative,0.984869122505188
rawan bencana gempa megathrust bpbd tawa damping sekolah media indonesia insider,neutral,0.9951504468917847
bmkg ingat potensi gempa megathrust tawa picu gempa indonesia insider,neutral,0.9943882822990417
gempa megathrust smua teknologi mati senyap mari pikir ulang,negative,0.9939066767692566
cipta tuhan larang manusia,negative,0.9929744005203247
cuman brutal gitu nghayal ajamending duit disimpen hadap bencana megathrust dipake bayarin suruh ngamuk,negative,0.9968358874320984
denger2 gempa megathrust geser indonesia benua eropa,neutral,0.5891083478927612
diam senang senang beliau repot2 bersih puing2 runtuh bangun akibat gempa megathrust,negative,0.9942519664764404
takut megathrust,negative,0.9965274930000305
viral kunjung wisatawan banten turun megathrust bmkg fakta,neutral,0.9910277724266052
kiamat monkey megathrust mulyono moon,neutral,0.9727330803871155
megathrust skala megathrust kaya bilang raksasa badan raksasa,negative,0.9249716997146606
megathrust monkeypox mulyono moon taeil huruf agustus024,neutral,0.9973264932632446
liat2 bmkg sering2nya update gempa anjir ngeri banget bnrn megathrust,negative,0.9890323281288147
tiba2 ahli megathrust,negative,0.9565598368644714
kepala pusat gempabumi tsunami bmkg daryono potensi sumber gempa megathrust sebab tsunami,neutral,0.9951568245887756
fakta gempa megathrust takut warga pindah,neutral,0.9370623230934143
megathrust kaget gabisa pencet pencet gampang,negative,0.9812714457511902
nunggu megathrust,neutral,0.7438613772392273
dyah roro esti kesiap industri hadap ancam gempa megathrust,neutral,0.9919746518135071
perhati lokasi episenter dalam hiposenternya gempa bumi jenis gempa bumi dangkal akibat deformasi batu bidang kontak lempang megathrust daryono kepala pusat gempa bumi tsunami bmkg,neutral,0.9933110475540161
buka indah2 alhamdulillah bagus neng liat teman2ku bahagia buka twitter gado2 banget politik megathrust kpop manga manhwa manhua anime game tinggal udah tinggal,positive,0.9700849652290344
megathrust,positive,0.5514708757400513
orang jogja gempa tanggal6 agustus kemarin data gempa megathrust,neutral,0.9935397505760193
gempa megathrust jenis bencana alam informasi wajib keluar badan meteorologi klimatologi geofisika bmkg,neutral,0.9956010580062866
gempa bumi asal megathrust hasil gempa dahsyat magnitudo delapan potensi sebab tsunami,neutral,0.9928715825080872
zona megathrust zona tumbuk lempeng bumi beda zona wilayah,neutral,0.9925992488861084
gempa megathrust gempa bumi geser segmensegmen zona megathrust,neutral,0.9951987862586975
kalo aman potensi megathrust ngga,neutral,0.5830252170562744
gempa megathrust beda gempa alami,neutral,0.953822672367096
nggak lokasi gempa megathrust udah kantong data bmkg ngepung teritori indonesia,neutral,0.9825888872146606
guys udah denger gempa megathrust prediksi bikin indonesia gonjangganjing thread,negative,0.5627101063728333
kalo megathrust kayak bekas dapet gempa,negative,0.7656985521316528
mending cepet megathrust allah alien masuk indonesia udah capek banget laku setansetan,negative,0.9978691339492798
komisi bmkg optimal anggar mitigasi gempa megathrust,neutral,0.9968138337135315
hubung megathrust mending pindah pulau jateng,neutral,0.505632758140564
dyah roro esti kesiap mitigasi kemenperin antisipasi megathrust,neutral,0.9980723857879639
hadap ancam megathrust pakar panik siaga,neutral,0.9106542468070984
berita potensi tsunami megathrust muncul media,neutral,0.9967940449714661
dahal september jogja gajadi takut gempa megathrust mending libur tunda,negative,0.9961612224578857
badan meteorologi klimatologi geofisika bmkg jelas gempa megathrust indonesia tinggal tunggu nyata klaim gempa,neutral,0.9954107403755188
sosmas news gempa megathrust halo sobat mipa masyarakat indonesia sorot gempa megathrust tinggal tunggu,neutral,0.99405437707901
akhirakhir asam lambung suka stress bahas politik degan banyak megathrust dinasti data bocor kayak anjir tegang bikin asam lambung kambuh,negative,0.9966928958892822
sekalikali opini mampu pikir kritis terima informasi potensi gempa bumi megathrust,neutral,0.9841682314872742
diskusi tajuk bangun kesiapsiagaan ancam megathrust masyarakat radio insania mataram rabu8 agustus024 informasi silah klik link bawah,neutral,0.9973174929618835
jabat perintah brengsek lupa kalo kuasa tinggi tangan rakyat kata diri tahta perintah suara komen kelas megathrust,negative,0.9960213303565979
plss ledakann takut megathrust,negative,0.9960696697235107
jari jaga bang ngetik pikir megathrust efek canda lucu bang crossed line,positive,0.9165751934051514
situ salah lokasi megathrust kayak sumatera sentris kayak ngeremehin kalimantan,negative,0.9618401527404785
bikin khawatir banget berita gempa megathrust sosial media,negative,0.9949169158935547
gempa megathrust menakuttakuti masyarakat pindah wilayah gempa fakta bahas gempa zona megathrust selat sunda bmkg tsunami aceh pada004,neutral,0.9968094229698181
halo sobat salam4 gimana aktivitas mudah mudah lancar hangat banget fenomena gempa megathrust bmkg,positive,0.8087504506111145
megathrust kawasan ngeyel bocah ilmuwan ilmuwan gaberani ngasih rekomendasi bangun situ gaada ilmu cuman make logika dasar ngawur ngotot,negative,0.9978773593902588
zona gempa megathrust hasil identifikasi teliti bmkg daftar wilayah,neutral,0.9973915815353394
badak jawa tnuk ancam tsunami megathrust skenario buruk tsunami gt20m genang area ekosistem mitigasi hindar punah,neutral,0.6359160542488098
bulan typhoon satu dteng beras langka info megathrust fragile negara sbnrnya kultur budaya mumpuni,positive,0.87956303358078
kalo megathrust kira2 langsung wisuda langsung mati,negative,0.7424343228340149
gempa megathrust ramal jayabaya belah pulau jawa ahli,neutral,0.8822100162506104
